Sample,Attribute_type
G3_H2O2.mzML,H2O2
H7_Ctrl.mzML,Control
H5_Ctrl.mzML,Control
H6_Ctrl.mzML,Control
G4_Ctrl.mzML,Control
G8_Ctrl.mzML,Control
H3_H2O2.mzML,H2O2
G3_Ctrl.mzML,Control
G5_NPS.mzML,MPS
H2_H2O2.mzML,H2O2
G7_H2O2.mzML,H2O2
G9_NPS.mzML,MPS
H10_NPS.mzML,MPS
G8_NPS.mzML,MPS
G6_NPS.mzML,MPS
G8_H2O2.mzML,H2O2
H10_H2O2.mzML,H2O2
I7_NPS.mzML,MPS
H9_Ctrl.mzML,Control
I10_Ctrl.mzML,Control
H8_Ctrl.mzML,Control
G5_Ctrl.mzML,Control
H3_Ctrl.mzML,Control
H4_Ctrl.mzML,Control
H2_Ctrl.mzML,Control
H8_NPS.mzML,MPS
H1_Ctrl.mzML,Control
H4_NPS.mzML,MPS
H3_NPS.mzML,MPS
H2_NPS.mzML,MPS
H1_NPS.mzML,MPS
G9_H2O2.mzML,H2O2
H1_H2O2.mzML,H2O2
I6_Ctrl.mzML,Control
I2_Ctrl.mzML,Control
I1_Ctrl.mzML,Control
I10_NPS.mzML,MPS
H6_H2O2.mzML,H2O2
I10_H2O2.mzML,H2O2
H5_H2O2.mzML,H2O2
H5_NPS.mzML,MPS
H7_NPS.mzML,MPS
H9_NPS.mzML,MPS
H6_NPS.mzML,MPS
H8_H2O2.mzML,H2O2
I1_NPS.mzML,MPS
H9_H2O2.mzML,H2O2
H4_H2O2.mzML,H2O2
H7_H2O2.mzML,H2O2
I7_Ctrl.mzML,Control
I9_Ctrl.mzML,Control
I8_Ctrl.mzML,Control
I4_NPS.mzML,MPS
I5_H2O2.mzML,H2O2
I1_H2O2.mzML,H2O2
I3_NPS.mzML,MPS
I6_H2O2.mzML,H2O2
I3_Ctrl.mzML,Control
I5_NPS.mzML,MPS
I4_H2O2.mzML,H2O2
I2_NPS.mzML,MPS
I6_NPS.mzML,MPS
I9_H2O2.mzML,H2O2
I3_H2O2.mzML,H2O2
I2_H2O2.mzML,H2O2
J10_Ctrl.mzML,Control
J1_Ctrl.mzML,Control
I4_Ctrl.mzML,Control
J2_Ctrl.mzML,Control
J10_H2O2.mzML,H2O2
I8_NPS.mzML,MPS
I9_NPS.mzML,MPS
J1_H2O2.mzML,H2O2
I7_H2O2.mzML,H2O2
J3_Ctrl.mzML,Control
J2_H2O2.mzML,H2O2
J2_NPS.mzML,MPS
I8_H2O2.mzML,H2O2
J1_NPS.mzML,MPS
J10_NPS.mzML,MPS
J3_H2O2.mzML,H2O2
I5_Ctrl.mzML,Control
J8_Ctrl.mzML,Control
J4_Ctrl.mzML,Control
J7_Ctrl.mzML,Control
J6_Ctrl.mzML,Control
J6_NPS.mzML,MPS
J9_NPS.mzML,MPS
J5_NPS.mzML,MPS
J7_NPS.mzML,MPS
J5_H2O2.mzML,H2O2
J3_NPS.mzML,MPS
J4_NPS.mzML,MPS
J4_H2O2.mzML,H2O2
J5_Ctrl.mzML,Control
J8_NPS.mzML,MPS
J6_H2O2.mzML,H2O2
J9_Ctrl.mzML,Control
J9_H2O2.mzML,H2O2
J8_H2O2.mzML,H2O2
J7_H2O2.mzML,H2O2
